x,deltaK_shape,deltaz1_shape
1.6446761779946627e-06,2.3408101998209008e-33,4.201253370060992e-40
1.7834308769319094e-06,3.805586812783371e-33,7.406451708207155e-40
1.933891750455232e-06,6.186956733793056e-33,1.3056943688342725e-39
2.097046401323231e-06,1.0058484214455374e-32,2.3018280703523876e-39
2.2739657523579273e-06,1.6352645193610877e-32,4.05792717855987e-39
2.465811075822604e-06,2.6585418782252533e-32,7.153780890517637e-39
2.673841615839944e-06,4.322141849590134e-32,1.2611508550376155e-38
2.899422853882875e-06,7.026750704718707e-32,2.223302027738823e-38
3.1440354715915e-06,1.1423787005606524e-31,3.919493172219e-38
3.4092850697468074e-06,1.8572299203753732e-31,6.909734893392053e-38
3.696912707195032e-06,3.0194043141509468e-31,1.2181278838780056e-37
4.0088063288984645e-06,4.908817634656892e-31,2.1474566875177113e-37
4.3470131581250175e-06,7.980545069115789e-31,3.785785236316408e-37
4.713753134116729e-06,1.2974428679675999e-30,6.674020977608622e-37
5.111433483440165e-06,2.1093272650294554e-30,1.1765738683545591e-36
5.542664520663107e-06,3.42925457998881e-30,2.07420114525354e-36
6.010276782070388e-06,5.575136810855662e-30,3.656643188725231e-36
6.51733960488242e-06,9.063822153644312e-30,6.446356898415125e-36
7.067181273927492e-06,1.4735581190847058e-29,1.1364390783980383e-35
7.663410868007463e-06,2.3956491578717428e-29,2.0034477832097597e-35
8.309941949353388e-06,3.894746708838156e-29,3.531912666506128e-35
9.011018251665018e-06,6.331918017729986e-29,6.226470717617671e-35
9.771241535346501e-06,1.029417184644757e-28,1.097675610039958e-34
1.0595601792776149e-05,1.6735843909129288e-28,1.9351122203873193e-34
1.1489510001873086e-05,2.7208456001236464e-28,3.4114450462232755e-34
1.2458833642950081e-05,4.423441246511292e-28,6.014100679146616e-34
1.3509935211980251e-05,7.191454230509023e-28,1.0602373665433117e-33
1.4649713983072878e-05,1.1691581945727506e-27,1.8691132851229786e-33
1.588565129428053e-05,1.900771638412927e-27,3.2950974068451274e-33
1.722585965398784e-05,3.0902009778453386e-27,5.8089951650816704e-33
1.8679135990207846e-05,5.023930641710835e-27,1.024080054746126e-32
2.0255019392306664e-05,8.167717012724309e-27,1.8053730164729763e-32
2.1963853724165468e-05,1.327877092768876e-26,3.18273254715274e-32
2.3816855519761608e-05,2.158814058391723e-26,5.610912754955188e-32
2.5826187606826748e-05,3.5097224352393334e-26,9.891612009858892e-32
2.800503894183631e-05,5.7059833046477e-26,1.743816702743739e-31
3.0367711180354606e-05,9.276591399431669e-26,3.0742190736548326e-31
3.292971255097148e-05,1.5081571006477016e-25,5.419622418950591e-31
3.5707859649004625e-05,2.4519125767467807e-25,9.554401924640322e-31
3.872038781812557e-05,3.986241835717858e-25,1.6843729683776124e-30
4.1987070844439056e-05,6.480710026763165e-25,2.969431580455179e-30
4.552935074866948e-05,1.0536147611380917e-24,5.23490388602556e-30
4.937047852839004e-05,1.7129371913599337e-24,9.228783518978572e-30
5.353566677410719e-05,2.7848473555391894e-24,1.6269739242069148e-29
5.8052255160948955e-05,4.527534274248119e-24,2.8682509497873205e-29
6.294988990221887e-05,7.360757769757824e-24,5.056548241877224e-29
6.826071834272379e-05,1.1966958077648502e-23,8.914390559646493e-29
